,Researcher_1,Researcher_2
4bit/Llama-2-7b-chat-hf,IAT,IAT
Den4ikAI/ruBert-tiny-questions-classifier,IAT,IAT
SEBIS/code_trans_t5_small_source_code_summarization_sql_multitask_finetune,IAT,IAT
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,IAT,IAT
efederici/cross-encoder-umberto-stsb,I,I
google/bert2bert_L-24_wmt_en_de,IAT,IAT
h2oai/h2ogpt-oasst1-512-12b,I,IAT
jphme/Llama-2-13b-chat-german,IAT,IAT
microsoft/GODEL-v1_1-large-seq2seq,IAT,IAT
pysentimiento/robertuito-sentiment-analysis,IAT,IAT
GanymedeNil/text2vec-base-chinese,IAT,IAT
Jiayi-Pan/SD-v2-1-Image-Encoder,IAT,IAT
KennethEnevoldsen/dfm-sentence-encoder-large-2,IAT,IAT
facebook/spar-wiki-bm25-lexmodel-query-encoder,IAT,IAT
google/pix2struct-base,IAT,I
google/pix2struct-docvqa-base,IAT,IAT
google/pix2struct-infographics-vqa-large,IAT,IAT
google/pix2struct-screen2words-large,IAT,IAT
google/pix2struct-widget-captioning-base,IAT,IAT
tuman/vit-rugpt2-image-captioning,IAT,IAT
TencentGameMate/chinese-wav2vec2-large,IAT,IAT
alefiury/wav2vec2-xls-r-300m-pt-br-spontaneous-speech-emotion-recognition,IAT,IAT
dbdmg/wav2vec2-xls-r-1b-italian-robust,IAT,IAT
facebook/s2t-small-mustc-en-de-st,IAT,IAT
facebook/wav2vec2-large-960h-lv60-self,IAT,IAT
jonatasgrosman/wav2vec2-large-xlsr-53-english,IAT,IAT
jonatasgrosman/wav2vec2-large-xlsr-53-french,IAT,IAT
sanchit-gandhi/speecht5_tts_vox_nl,IAT,IAT
speechbrain/asr-wav2vec2-commonvoice-fr,IAT,IAT
weekcircle/wav2vec2-large-mms-1b-korean-colab,IAT,IAT
CIDAS/clipseg-rd64-refined,I,I
commaai/commavq-gpt2m,I,I
facebook/mask2former-swin-base-IN21k-ade-semantic,IAT,IAT
facebook/mask2former-swin-base-ade-semantic,IAT,IAT
facebook/mask2former-swin-base-coco-panoptic,IAT,IAT
facebook/mask2former-swin-large-ade-panoptic,IAT,IAT
facebook/mask2former-swin-large-cityscapes-instance,IAT,IAT
laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,I,I
microsoft/table-transformer-structure-recognition,IAT,IAT
shivi/video-mask2former-swin-tiny-youtubevis-2021-instance,IAT,IAT
Geotrend/distilbert-base-en-fr-cased,IAT,IAT
HooshvareLab/albert-fa-zwnj-base-v2-ner,I,IAT
RWKV/rwkv-raven-1b5,I,I
RashidNLP/Amazon-Deberta-Base-Sentiment,IAT,IAT
SEBIS/legal_t5_small_trans_fr_en,IAT,IAT
Voicelab/sbert-base-cased-pl,IAT,IAT
ml6team/mt5-small-german-finetune-mlsum,IAT,IAT
sentence-transformers/msmarco-roberta-base-ance-firstp,I,I
shorthillsai/flan-t5-large-absa,IAT,IAT
stockmark/bart-base-japanese-news,IAT,IAT
BAAI/bge-large-zh,IAT,IAT
GanjinZero/UMLSBert_ENG,IAT,IAT
Maite89/Roberta_finetuning_semantic_similarity_stsb_multi_mt,IAT,IAT
SCUT-DLVCLab/lilt-roberta-en-base,I,I
SEBIS/code_trans_t5_base_code_documentation_generation_python,IAT,IAT
efederici/sentence-it5-base,I,IAT
sentence-transformers/paraphrase-albert-small-v2,IAT,IAT
sentence-transformers/paraphrase-distilroberta-base-v1,IAT,IAT
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,IAT,IAT
yseop/roberta-base-finance-hypernym-identification,IAT,IAT
Jasper881108/whisper-small-zh,IAT,IAT
Scrya/whisper-large-v2-cantonese,IAT,IAT
facebook/hubert-large-ls960-ft,I,I
jlondonobo/whisper-large-v2-pt-v3,I,I
jlondonobo/whisper-medium-pt,I,I
kfahn/speecht5_finetuned_voxpopuli_cs,I,IAT
language-and-voice-lab/whisper-large-icelandic-62640-steps-967h,IAT,IAT
